102292A	 SSB -30.0684 -177.031 15.7 45.279 4.542 0.7
102492A	 AQU -29.6403 -177.352 18.7 42.354 13.405 0.71
102492A	 KONO -29.6403 -177.352 18.7 59.6491 9.5982 0.216
102492A	 OBN -29.6403 -177.352 18.7 55.1146 36.5674 0.16
102492A	 SUR -29.6403 -177.352 18.7 -32.3797 20.8117 1.77
102492A	 TAM -29.6403 -177.352 18.7 22.7915 5.52838 1.41
110692A	 PAS 38.1091 26.956 17.2 34.1484 -118.171 0.314
110892A	 AQU -15.7343 -179.721 12.8 42.354 13.405 0.71
110892A	 ARU -15.7343 -179.721 12.8 56.4302 58.5625 0.25
110892A	 BGY -15.7343 -179.721 12.8 44.8026 20.5158 0.25
110892A	 CACB -15.7343 -179.721 12.8 -21.6802 -46.7326 1.381
110892A	 ECH -15.7343 -179.721 12.8 48.2163 7.15896 0.58
110892A	 HRV -15.7343 -179.721 12.8 42.5064 -71.5583 0.2
110892A	 NVS -15.7343 -179.721 12.8 54.8404 83.2346 0.15
110892A	 OBN -15.7343 -179.721 12.8 55.1146 36.5674 0.16
110892A	 RIFB -15.7343 -179.721 12.8 -20.0737 -47.5019 0.86
110892A	 WUS -15.7343 -179.721 12.8 41.199 79.218 1.457
112192A	 ALE -56.6192 -26.2014 20.1 82.5033 -62.35 0.06
112192A	 ANMO -56.6192 -26.2014 20.1 34.9459 -106.457 1.75
112192A	 CHTO -56.6192 -26.2014 20.1 18.8141 98.9443 0.42
112192A	 COL -56.6192 -26.2014 20.1 64.9 -147.793 0.32
112192A	 DBQ -56.6192 -26.2014 20.1 39.2458 -108.176 1.693
112192A	 ERM -56.6192 -26.2014 20.1 42.015 143.157 0.04
112192A	 MON -56.6192 -26.2014 20.1 38.5308 -107.997 2.097
112192A	 TATO -56.6192 -26.2014 20.1 24.9735 121.497 0.07
112192A	 YSS -56.6192 -26.2014 20.1 46.9587 142.76 0.148
112892A	 CAN -31.2821 -71.9752 11.7 -35.3187 148.996 0.7
112892A	 CTAO -31.2821 -71.9752 11.7 -20.0882 146.255 0.357
112892A	 ERM -31.2821 -71.9752 11.7 42.015 143.157 0.04
112892A	 INU -31.2821 -71.9752 11.7 35.35 137.029 0.132
112892A	 MAJO -31.2821 -71.9752 11.7 36.5457 138.204 0.405
120192A	 HRV -20.8476 169.206 29.6 42.5064 -71.5583 0.2
123192A	 DPC -32.1255 -178.066 16.4 50.3502 16.3222 0.748
123192A	 ECH -32.1255 -178.066 16.4 48.2163 7.15896 0.58
123192A	 GRA1 -32.1255 -178.066 16.4 49.6919 11.2217 0.4995
123192A	 KONO -32.1255 -178.066 16.4 59.6491 9.5982 0.216
123192A	 LVZ -32.1255 -178.066 16.4 67.8979 34.6514 0.63
123192A	 OBN -32.1255 -178.066 16.4 55.1146 36.5674 0.16
123192A	 SSB -32.1255 -178.066 16.4 45.279 4.542 0.7
011393A	 ANMO -50.8594 139.464 9.9 34.9459 -106.457 1.75
011393A	 AQU -50.8594 139.464 9.9 42.354 13.405 0.71
011393A	 BGY -50.8594 139.464 9.9 44.8026 20.5158 0.25
011393A	 CMB -50.8594 139.464 9.9 38.0345 -120.387 0.697
011393A	 GSC -50.8594 139.464 9.9 35.3028 -116.808 0.99
011393A	 HRV -50.8594 139.464 9.9 42.5064 -71.5583 0.2
011393A	 ISA -50.8594 139.464 9.9 35.663 -118.473 0.835
011393A	 LVZ -50.8594 139.464 9.9 67.8979 34.6514 0.63
011393A	 NRIL -50.8594 139.464 9.9 69.5049 88.4414 0.092
011393A	 PAB -50.8594 139.464 9.9 39.5446 -4.3499 0.95
011393A	 PAS -50.8594 139.464 9.9 34.1484 -118.171 0.314
011393A	 PFO -50.8594 139.464 9.9 33.6092 -116.455 1.28
011393A	 SSB -50.8594 139.464 9.9 45.279 4.542 0.7
011393A	 TAM -50.8594 139.464 9.9 22.7915 5.52838 1.41
011393A	 TUC -50.8594 139.464 9.9 32.3098 -110.785 0.909
011393A	 UNM -50.8594 139.464 9.9 19.3297 -99.1781 2.28
030693A	 ECH -26.5237 -177.335 18.2 48.2163 7.15896 0.58
030693A	 KONO -26.5237 -177.335 18.2 59.6491 9.5982 0.216
030693A	 LVZ -26.5237 -177.335 18.2 67.8979 34.6514 0.63
030693A	 NRIL -26.5237 -177.335 18.2 69.5049 88.4414 0.092
030693A	 OBN -26.5237 -177.335 18.2 55.1146 36.5674 0.16
030693A	 PAB -26.5237 -177.335 18.2 39.5446 -4.3499 0.95
030693A	 SSB -26.5237 -177.335 18.2 45.279 4.542 0.7
030693A	 SUR -26.5237 -177.335 18.2 -32.3797 20.8117 1.77
031593A	 CAN -26.6926 -70.914 19.2 -35.3187 148.996 0.7
031593A	 CTAO -26.6926 -70.914 19.2 -20.0882 146.255 0.357
031593A	 ERM -26.6926 -70.914 19.2 42.015 143.157 0.04
031593A	 LVZ -26.6926 -70.914 19.2 67.8979 34.6514 0.63
031593A	 MAJO -26.6926 -70.914 19.2 36.5457 138.204 0.405
031593A	 NOUC -26.6926 -70.914 19.2 -22.0986 166.307 0.137
031593A	 NRIL -26.6926 -70.914 19.2 69.5049 88.4414 0.092
031593A	 NWAO -26.6926 -70.914 19.2 -32.9277 117.239 0.28
031593A	 TSK -26.6926 -70.914 19.2 36.2108 140.11 0.35
040293A	 LVZ -17.3635 -171.919 9.3 67.8979 34.6514 0.63
040293A	 NRIL -17.3635 -171.919 9.3 69.5049 88.4414 0.092
040293A	 OBN -17.3635 -171.919 9.3 55.1146 36.5674 0.16
041793A	 ARU -16.5688 -177.367 9.7 56.4302 58.5625 0.25
041793A	 FRB -16.5688 -177.367 9.7 63.7469 -68.5451 0.025
041793A	 HRV -16.5688 -177.367 9.7 42.5064 -71.5583 0.2
041793A	 KIV -16.5688 -177.367 9.7 43.9562 42.6888 1.21
041793A	 LVZ -16.5688 -177.367 9.7 67.8979 34.6514 0.63
041793A	 NRIL -16.5688 -177.367 9.7 69.5049 88.4414 0.092
041793A	 OBN -16.5688 -177.367 9.7 55.1146 36.5674 0.16
041793A	 TBT -16.5688 -177.367 9.7 28.6794 -17.9145 0.18
041793A	 WUS -16.5688 -177.367 9.7 41.199 79.218 1.457
050293A	 A03 -56.4067 -24.5753 12.9 44.4233 -123.948 0.437
050293A	 ALE -56.4067 -24.5753 12.9 82.5033 -62.35 0.06
050293A	 ANMO -56.4067 -24.5753 12.9 34.9459 -106.457 1.75
050293A	 CTAO -56.4067 -24.5753 12.9 -20.0882 146.255 0.357
050293A	 ENH -56.4067 -24.5753 12.9 30.2718 109.487 0.487
050293A	 ERM -56.4067 -24.5753 12.9 42.015 143.157 0.04
050293A	 GSC -56.4067 -24.5753 12.9 35.3028 -116.808 0.99
050293A	 HRV -56.4067 -24.5753 12.9 42.5064 -71.5583 0.2
050293A	 MAJO -56.4067 -24.5753 12.9 36.5457 138.204 0.405
050293A	 PFO -56.4067 -24.5753 12.9 33.6092 -116.455 1.28
050293A	 SBC -56.4067 -24.5753 12.9 34.4417 -119.713 0.09
050293A	 SCZ -56.4067 -24.5753 12.9 36.598 -121.403 0.261
050293A	 TATO -56.4067 -24.5753 12.9 24.9735 121.497 0.07
050293A	 XAN -56.4067 -24.5753 12.9 34.0313 108.924 0.63
050293A	 YSS -56.4067 -24.5753 12.9 46.9587 142.76 0.148
051593A	 AGVB 51.3358 -178.691 12.3 -19.7393 -50.2331 0.45
051593A	 CDCB 51.3358 -178.691 12.3 -20.2365 -44.7182 0.86
051593A	 DRV 51.3358 -178.691 12.3 -66.6649 140.002 0.04
051593A	 PAF 51.3358 -178.691 12.3 -49.351 70.2107 0.017
051593A	 PMSA 51.3358 -178.691 12.3 -64.7744 -64.0489 0.04
051693A	 ALE -15.2876 -173.293 21.3 82.5033 -62.35 0.06
051693A	 FRB -15.2876 -173.293 21.3 63.7469 -68.5451 0.025
051693A	 OBN -15.2876 -173.293 21.3 55.1146 36.5674 0.16
051693A	 SUR -15.2876 -173.293 21.3 -32.3797 20.8117 1.77
051793A	 BOSA 37.1278 -117.811 25.9 -28.6141 25.2555 1.18
051793A	 AGVB -5.3416 152.014 18.8 -19.7393 -50.2331 0.45
051793A	 CDCB -5.3416 152.014 18.8 -20.2365 -44.7182 0.86
051793A	 HRV -5.3416 152.014 18.8 42.5064 -71.5583 0.2
051793A	 RIFB -5.3416 152.014 18.8 -20.0737 -47.5019 0.86
